172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.159 upstream_response_time=0.159
172.22.0.1 - - [30/Oct/2025:23:19:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.005 upstream_response_time=0.005
172.22.0.1 - - [30/Oct/2025:23:19:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.028 upstream_response_time=0.027
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.005 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.004 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.004 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:23:19:37 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
